"";"sample.id";"year";"month";"day";"station.id";"lat";"lon";"depth";"sex";"maturity_stage";"age";"length";"ungutted.weight";"gutted.weight";"liver.weight";"gonad.weight";"species"
"1045";315991;2008;3;6;52;64,5571666666667;-23,0644166666667;89,5;"M";2;4;32;NA;NA;NA;NA;24
"1046";315991;2008;3;6;52;64,5571666666667;-23,0644166666667;89,5;"F";2;4;31;NA;NA;NA;NA;24
"1047";316088;2008;3;13;131;66,3646666666667;-24,1089166666667;109,5;"F";1;4;32;345,9;NA;NA;NA;24
"1048";316088;2008;3;13;131;66,3646666666667;-24,1089166666667;109,5;"F";2;5;31;319;NA;NA;NA;24
"1049";316088;2008;3;13;131;66,3646666666667;-24,1089166666667;109,5;"F";1;6;32;352;NA;NA;NA;24
"1050";316088;2008;3;13;131;66,3646666666667;-24,1089166666667;109,5;"F";2;7;35;481;NA;NA;NA;24
"1051";316089;2008;3;13;132;66,2548333333333;-24,60325;82,5;"M";2;6;38;662;NA;NA;NA;24
"1052";316089;2008;3;13;132;66,2548333333333;-24,60325;82,5;"F";2;9;42;906;NA;NA;NA;24
"1053";316089;2008;3;13;132;66,2548333333333;-24,60325;82,5;"F";2;8;40;741;NA;NA;NA;24
"1054";316089;2008;3;13;132;66,2548333333333;-24,60325;82,5;"M";2;6;32;389;NA;NA;NA;24
"1055";316106;2008;3;10;75;66,6686666666667;-23,8255;103,5;"F";2;NA;20;116;NA;NA;NA;24
"1056";316106;2008;3;10;75;66,6686666666667;-23,8255;103,5;"M";2;4;36;562,9;NA;NA;NA;24
"1057";316106;2008;3;10;75;66,6686666666667;-23,8255;103,5;"F";2;5;29;438;NA;NA;NA;24
"1058";316106;2008;3;10;75;66,6686666666667;-23,8255;103,5;"F";2;5;30;336;NA;NA;NA;24
"1059";315808;2008;3;2;57;66,3950833333333;-16,7046666666667;115,5;"M";2;5;31;362;NA;NA;NA;24
"1060";315808;2008;3;2;57;66,3950833333333;-16,7046666666667;115,5;"M";2;6;36;490;NA;NA;NA;24
"1061";315863;2008;3;1;22;65,1969166666667;-23,3230833333333;130;"F";1;6;41;762;NA;NA;NA;24
"1062";315863;2008;3;1;22;65,1969166666667;-23,3230833333333;130;"F";1;5;39;696,9;NA;NA;NA;24
"1063";315863;2008;3;1;22;65,1969166666667;-23,3230833333333;130;"F";1;5;38;616;NA;NA;NA;24
"1064";315863;2008;3;1;22;65,1969166666667;-23,3230833333333;130;"M";2;8;35;432;NA;NA;NA;24
"1065";315864;2008;3;1;23;65,0505;-23,5719166666667;175,5;"M";2;5;31;361;NA;NA;NA;24
"1066";315864;2008;3;1;23;65,0505;-23,5719166666667;175,5;"M";1;7;27;206;NA;NA;NA;24
"1067";315864;2008;3;1;23;65,0505;-23,5719166666667;175,5;"F";1;8;35;432;NA;NA;NA;24
"1068";315952;2008;3;2;12;63,5008333333333;-16,1473333333333;118,5;"F";2;8;39;586;NA;NA;NA;24
"1069";315952;2008;3;2;12;63,5008333333333;-16,1473333333333;118,5;"F";2;6;35;488;NA;NA;NA;24
"1070";315952;2008;3;2;12;63,5008333333333;-16,1473333333333;118,5;"F";2;8;37;567,9;NA;NA;NA;24
"1071";315952;2008;3;2;12;63,5008333333333;-16,1473333333333;118,5;"M";2;6;33;376;NA;NA;NA;24
"1072";315953;2008;3;3;13;63,5355833333333;-16,9104166666667;213;"F";2;6;31;281,9;NA;NA;NA;24
"1073";315953;2008;3;3;13;63,5355833333333;-16,9104166666667;213;"F";2;4;26;159;NA;NA;NA;24
